
	       =================================================================
               |                                                               |
               |                        Virus Simulator                        |
               |              By Luis Ramirez & Marcial Carrillo               |
               |                    CI-0117   -  12/09/2018                    |
               |                                                               |
	       =================================================================

DATA: 

-Number of People: 10000
-Infectiousness: 0.65
-Chance to recover: 0.50
-Infection duration: 20
-Initial infected: 10%
-Map size: 50x50

LEGEND:
       T = Tick
       uInf = Average Infected
       %Inf = Percentage Infected
       TInf = Total Infected
       uDead = Average Dead
       %Dead = Percentage Dead
       TDead = Total Dead
       uRec = Average Recovered
       %Rec = Percentage Recovered
       TRec = Total Recovered
       uSuc = Average Susceptible
       %Suc = Percentage Susceptible
       TSuc = Total Susceptible

T         uInf      %Inf      TInf      uDead     %Dead     TDead     uRec      %Rec      TRec      uSuc      %Suc      TSuc      

0         1000.00   10        1000      0.00      0         0         0.00      0         0         9000.00   90        9000      
1         1483.50   29        2967      0.00      0         0         0.00      0         0         3516.50   70        7033      
2         2224.67   66        6674      0.00      0         0         0.00      0         0         1108.67   33        3326      
3         2326.50   93        9306      0.00      0         0         0.00      0         0         173.50    6         694       
4         1987.40   99        9937      0.00      0         0         0.00      0         0         12.60     0         63        
5         1666.17   99        9997      0.00      0         0         0.00      0         0         0.50      0         3         
6         1428.43   99        9999      0.00      0         0         0.00      0         0         0.14      0         1         
7         1250.00   100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
8         1111.11   100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
9         1000.00   100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
10        909.09    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
11        833.33    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
12        769.23    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
13        714.29    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
14        666.67    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
15        625.00    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
16        588.24    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
17        555.56    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
18        526.32    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
19        500.00    100       10000     0.00      0         0         0.00      0         0         0.00      0         0         
20        428.57    90        9000      24.19     5         508       23.43     4         492       0.00      0         0         
21        319.68    70        7033      67.27     14        1480      67.59     14        1487      0.00      0         0         
22        144.61    33        3326      144.57    33        3325      145.61    33        3349      0.00      0         0         
23        28.92     6         694       193.96    46        4655      193.79    46        4651      0.00      0         0         
24        2.52      0         63        198.76    49        4969      198.72    49        4968      0.00      0         0         
25        0.12      0         3         192.46    50        5004      192.04    49        4993      0.00      0         0         
26        0.04      0         1         185.33    50        5004      185.00    49        4995      0.00      0         0         
27        0.00      0         0         178.71    50        5004      178.43    49        4996      0.00      0         0         

Process Completed!
Total time taken = 1.08105
Average time per tick = 0.03861
